engine,track,schema_id,workload,input,sample_index,operation_count,process_key_calls,process_key_ns,translator_calls,translator_ns,lookup_views_visited,owned_candidates_materialized,candidates_sorted,candidate_sort_ns,userdb_merge_ns,filter_pipeline_ns,ranker_pipeline_ns,ai_merge_ns,candidates_stored,context_full_snapshot_candidates_cloned,context_page_snapshot_candidates_cloned,abi_get_context_calls,abi_get_context_ns,abi_candidates_exported,abi_free_context_calls,abi_free_context_ns,candidate_request_bounded_calls,candidate_request_unbounded_calls,candidate_request_page_limit_total,candidate_request_surplus_total,bounded_iterator_calls,bounded_iterator_limit_total,bounded_iterator_selected_total,bounded_iterator_full_count_total,full_list_translation_calls,full_list_fallback_count,exact_lookup_calls,exact_lookup_ns,exact_lookup_candidates,prefix_lookup_calls,prefix_lookup_ns,prefix_lookup_candidates,heap_exact_lookup_calls,heap_prefix_lookup_calls,no_marisa_compact_exact_lookup_calls,no_marisa_compact_prefix_lookup_calls,rsmarisa_exact_lookup_calls,rsmarisa_prefix_lookup_calls,abi_c_string_allocations,abi_c_string_bytes
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,18,7,7,11324800,21,11256600,13954,62,53,200,2100,43100,0,1600,53,0,0,1,1900,0,1,200,7,0,35,105,4,80,53,12930,0,3,4729,1984400,5277,10,1753400,8677,0,0,4729,10,0,0,2,16
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,19,7,7,11348500,21,11266600,13954,62,53,400,1700,55600,100,1500,53,0,0,1,1600,0,1,300,7,0,35,105,4,80,53,12930,0,3,4729,1997000,5277,10,1755600,8677,0,0,4729,10,0,0,2,16
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,0,13,13,38817200,39,38692000,26660,46,45,600,4200,47700,300,1500,45,0,0,1,4400,0,1,400,13,0,65,195,3,60,45,25339,0,10,10379,4465900,11634,23,3161900,15026,0,0,10379,23,0,0,2,28
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,1,13,13,38520800,39,38431400,26660,46,45,600,3600,47100,200,1900,45,0,0,1,2200,0,1,300,13,0,65,195,3,60,45,25339,0,10,10379,4396000,11634,23,3118900,15026,0,0,10379,23,0,0,2,28
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,2,13,13,38459600,39,38368200,26660,46,45,700,3600,49100,300,1800,45,0,0,1,2200,0,1,200,13,0,65,195,3,60,45,25339,0,10,10379,4473200,11634,23,3137000,15026,0,0,10379,23,0,0,2,28
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,3,13,13,39148900,39,39045000,26660,46,45,900,4800,51300,200,1700,45,0,0,1,2500,0,1,300,13,0,65,195,3,60,45,25339,0,10,10379,4417100,11634,23,3140600,15026,0,0,10379,23,0,0,2,28
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,4,13,13,37996800,39,37904500,26660,46,45,600,4000,49200,500,1400,45,0,0,1,2000,0,1,400,13,0,65,195,3,60,45,25339,0,10,10379,4521000,11634,23,3169600,15026,0,0,10379,23,0,0,2,28
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,5,13,13,38683400,39,38589100,26660,46,45,600,4500,47300,0,1800,45,0,0,1,2600,0,1,300,13,0,65,195,3,60,45,25339,0,10,10379,4371900,11634,23,3098100,15026,0,0,10379,23,0,0,2,28
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,6,13,13,38027200,39,37933200,26660,46,45,800,4400,46900,200,1700,45,0,0,1,2300,0,1,300,13,0,65,195,3,60,45,25339,0,10,10379,4277200,11634,23,3139600,15026,0,0,10379,23,0,0,2,28
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,7,13,13,38763800,39,38666200,26660,46,45,1000,4100,50300,200,1600,45,0,0,1,2400,0,1,400,13,0,65,195,3,60,45,25339,0,10,10379,4420700,11634,23,3190400,15026,0,0,10379,23,0,0,2,28
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,8,13,13,40744800,39,40645100,26660,46,45,400,4600,51100,0,1500,45,0,0,1,2200,0,1,300,13,0,65,195,3,60,45,25339,0,10,10379,4648500,11634,23,3494500,15026,0,0,10379,23,0,0,2,28
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,9,13,13,37998500,39,37908400,26660,46,45,900,3400,47800,100,2200,45,0,0,1,2400,0,1,400,13,0,65,195,3,60,45,25339,0,10,10379,4402500,11634,23,3118400,15026,0,0,10379,23,0,0,2,28
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,10,13,13,38247200,39,38158900,26660,46,45,700,3600,47200,100,1700,45,0,0,1,2200,0,1,200,13,0,65,195,3,60,45,25339,0,10,10379,4460200,11634,23,3132800,15026,0,0,10379,23,0,0,2,28
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,11,13,13,38305100,39,38209800,26660,46,45,700,4800,47600,500,1700,45,0,0,1,2500,0,1,600,13,0,65,195,3,60,45,25339,0,10,10379,4335500,11634,23,3095800,15026,0,0,10379,23,0,0,2,28
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,12,13,13,38450800,39,38356000,26660,46,45,500,4500,47500,400,1400,45,0,0,1,2200,0,1,400,13,0,65,195,3,60,45,25339,0,10,10379,4488700,11634,23,3113800,15026,0,0,10379,23,0,0,2,28
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,13,13,13,38359300,39,38268400,26660,46,45,800,3900,47700,400,1700,45,0,0,1,2400,0,1,500,13,0,65,195,3,60,45,25339,0,10,10379,4335900,11634,23,3092600,15026,0,0,10379,23,0,0,2,28
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,14,13,13,38171200,39,38083000,26660,46,45,700,3800,46500,100,1500,45,0,0,1,2500,0,1,300,13,0,65,195,3,60,45,25339,0,10,10379,4352200,11634,23,3092500,15026,0,0,10379,23,0,0,2,28
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,15,13,13,38872100,39,38783000,26660,46,45,800,3400,47700,100,2000,45,0,0,1,2200,0,1,500,13,0,65,195,3,60,45,25339,0,10,10379,4356300,11634,23,3045000,15026,0,0,10379,23,0,0,2,28
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,16,13,13,38130500,39,38041500,26660,46,45,700,3200,49100,300,1400,45,0,0,1,2100,0,1,500,13,0,65,195,3,60,45,25339,0,10,10379,4380200,11634,23,3023100,15026,0,0,10379,23,0,0,2,28
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,17,13,13,38520700,39,38433800,26660,46,45,600,3600,45600,200,1500,45,0,0,1,2100,0,1,300,13,0,65,195,3,60,45,25339,0,10,10379,4344500,11634,23,3121700,15026,0,0,10379,23,0,0,2,28
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,18,13,13,38641400,39,38552900,26660,46,45,400,3700,47900,600,900,45,0,0,1,1900,0,1,200,13,0,65,195,3,60,45,25339,0,10,10379,4365500,11634,23,3083600,15026,0,0,10379,23,0,0,2,28
